BID,Quandl,PriceColumn
ACWI UQ,LSE/{0},Last Close
AAXJ UQ,GOOG/NYSE_{0},Close
BBC UQ,GOOG/NYSE_{0},Close
BNDX UQ,GOOG/NYSE_{0},Close
BNDX UQ,YAHOO/FUND_GSLC,Close
XHAOX UQ,YAHOO/FUND_XHAOX,Last Close
XHAOX UQ,GOOG/NYSE_{0},Close
IXUS UQ,GOOG/NYSE_{0},Close
XMDYX UQ,GOOG/NYSE_{0},Close
QQQ UQ,GOOG/NYSE_{0},Close
SCZ UQ,GOOG/NYSE_{0},Close
TLT UQ,GOOG/NYSE_{0},Close
VCLT UQ,GOOG/NYSE_{0},Close
VCSH UQ,GOOG/NYSE_{0},Close
VNQI UQ,GOOG/NYSE_{0},Close
VTIP UQ,GOOG/NYSE_{0},Close
VTWO UQ,LSE/{0},Last Close
VWOB UQ,GOOG/NYSE_{0},Close
VXUS UQ,GOOG/NYSE_{0},Close
CRUD LN,LSE/{0},Last Close
IMEU LN,LSE/{0},Last Close
ISF LN,LSE/{0},Last Close
IUKD LN,LSE/{0},Last Close
IDUS LN,LSE/{0},Last Close
MIDD LN,LSE/{0},Last Close
SLXX LN,LSE/{0},Last Close
SLXX LN,LSE/{0},Last Close
SLXX LN,LSE/{0},Last Close
VUSA LN,LSE/{0},Last Close
